"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.382660625E0,1.691140482E0,-2.768162522E0,-9.063587719E-1,3.368110167E0
1.392679625E0,1.824338593E0,-2.733715990E0,-1.111535084E0,3.469427136E0
1.402698625E0,2.066454543E0,-2.574419709E0,-1.334169574E0,3.560601027E0
1.412717625E0,2.276906652E0,-2.231866427E0,-1.563329849E0,3.550990266E0
1.422736625E0,2.195537091E0,-1.910556664E0,-1.670451279E0,3.355743936E0
1.432755625E0,1.862061612E0,-1.719026438E0,-1.226096803E0,2.815251092E0
1.442774625E0,1.523920347E0,-1.641473647E0,-1.327686328E0,2.603751129E0
1.452793625E0,1.151246961E0,-1.570350455E0,-1.453863540E0,2.430038953E0
1.462812625E0,1.138713746E0,-1.390264984E0,-8.340193588E-1,1.981185002E0
1.472831625E0,1.237102432E0,-1.189916571E0,-4.933143818E-1,1.785968352E0
1.482850625E0,1.442848409E0,-7.865580940E-1,-7.055660442E-1,1.788381562E0
1.492869625E0,1.698370564E0,-2.965146446E-1,-8.205888891E-1,1.909384621E0
1.502888625E0,1.815555636E0,3.601381981E-1,-5.262890236E-1,1.924297775E0
1.512908625E0,1.798906713E0,1.065670840E0,-2.940168603E-1,2.111436860E0
1.522927625E0,1.584278523E0,1.424947159E0,-2.620875545E-1,2.146882095E0
1.532946625E0,1.293559346E0,1.626874904E0,-2.169371825E-1,2.089755841E0
1.542965625E0,1.125428068E0,2.019555196E0,1.613819826E-1,2.317592646E0
1.552984625E0,7.620224462E-1,2.263443146E0,4.274608465E-1,2.426226671E0
1.563003625E0,3.603184386E-1,2.571542294E0,3.935597134E-1,2.626318411E0
1.573022625E0,-7.232318714E-2,2.753882452E0,4.463752004E-1,2.790761548E0
1.583041625E0,-5.369794149E-1,2.718519076E0,6.228727470E-1,2.840187198E0
1.593060625E0,-8.370099903E-1,2.375632503E0,6.392234623E-1,2.598619277E0
1.603079625E0,-8.420616192E-1,1.682471400E0,5.485204299E-1,1.959758262E0
1.613098625E0,-6.160711927E-1,8.198755288E-1,4.353930330E-1,1.114139439E0
1.623117625E0,-3.219571956E-1,1.950104892E-2,3.291440083E-1,4.608389142E-1
1.633136625E0,-5.495973408E-2,-6.850673872E-1,2.448024541E-1,7.295657194E-1
1.643155625E0,1.874319130E-1,-1.245867993E0,1.660468912E-1,1.270782967E0
1.653175625E0,3.365199054E-1,-1.549806263E0,9.592357278E-2,1.588819194E0
