"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.034246542E0,7.322452813E-1,3.786867356E-1,5.433776575E-1,9.873429366E-1
1.044265542E0,7.036260112E-1,2.663430119E-1,2.611267108E-1,7.963763700E-1
1.054284542E0,4.514800389E-1,-9.641473889E-3,3.872324413E-1,5.948749004E-1
1.064302542E0,3.608227975E-1,-2.943885970E-1,4.956550223E-1,6.800967860E-1
1.074321542E0,4.440519920E-1,-3.256209147E-1,4.360631239E-1,7.023974656E-1
1.084340542E0,1.826893643E-1,-2.948195368E-1,4.292990649E-1,5.518982245E-1
1.094358542E0,-7.600742636E-2,-1.788119477E-1,2.968263012E-1,3.547628709E-1
1.104377542E0,-3.740577143E-2,-8.326142728E-2,2.064154834E-1,2.256967186E-1
1.114395542E0,1.182084080E-2,-7.501509905E-2,2.340342218E-1,2.460467726E-1
1.124414542E0,1.477271991E-1,1.807111233E-1,1.197281724E-1,2.623255053E-1
1.134433542E0,8.281038769E-2,1.619538403E-1,1.411956400E-1,2.302668353E-1
1.144451542E0,5.741397494E-2,-1.414464855E-1,1.041810107E-1,1.848165463E-1
1.154470542E0,8.214729516E-2,-2.377571440E-1,8.615170598E-2,2.658923731E-1
1.164489542E0,-1.220734175E-3,-3.286263835E-1,6.387264490E-2,3.347782922E-1
1.174507542E0,-7.216419769E-2,-3.865395463E-1,2.293511868E-2,3.938864201E-1
1.184526542E0,-7.757226918E-2,-4.583597267E-1,1.121811712E-1,4.782214039E-1
1.194545542E0,-1.308049002E-1,-4.286640573E-1,1.348800623E-1,4.680335748E-1
1.204563542E0,-2.727170799E-1,-3.500219303E-1,7.436021546E-2,4.499104345E-1
1.214582542E0,-3.472010142E-1,-3.218459523E-1,1.662199688E-1,5.017593440E-1
1.224600542E0,-2.278337977E-1,-2.736116856E-1,1.507739639E-1,3.866579653E-1
1.234619542E0,1.662060086E-2,-2.502193147E-1,4.006979942E-2,2.539518432E-1
1.244638542E0,1.466122447E-1,-1.825173283E-1,7.275572578E-2,2.451552999E-1
1.254656542E0,1.348153410E-1,-8.504307389E-2,8.596224706E-2,1.810994437E-1
1.264675542E0,1.393421457E-1,-7.814628303E-2,5.902413368E-2,1.703141905E-1
1.274694542E0,9.532456208E-2,-5.885397971E-2,7.005899906E-2,1.321318524E-1
1.284712542E0,4.799613878E-3,-5.217645943E-2,8.019224206E-2,9.579256181E-2
1.294731542E0,2.658582777E-3,-6.092857182E-2,9.890682220E-2,1.161977556E-1
1.304750542E0,-6.391379468E-2,-4.211924851E-2,1.798860995E-1,1.954942788E-1
1.314768542E0,-1.565907558E-1,-7.312644839E-2,1.948947509E-1,2.604843684E-1
1.324787542E0,-1.975107586E-1,-1.485397428E-1,2.170626783E-1,3.289236405E-1
1.334805542E0,-1.876647418E-1,-1.984433895E-1,2.864387409E-1,3.957840149E-1
1.344824542E0,-8.167785510E-2,-2.603882074E-1,3.450956877E-1,4.399594575E-1
1.354843542E0,8.267451301E-2,-3.316289288E-1,3.850322071E-1,5.148423274E-1
1.364861542E0,2.612220569E-1,-4.085589910E-1,2.380378469E-1,5.402031365E-1
1.374880542E0,2.904546451E-1,-4.172853756E-1,1.001280863E-2,5.085186741E-1
1.384899542E0,7.598193616E-2,-3.625519288E-1,6.667342465E-2,3.763807928E-1
1.394917542E0,-1.293198171E-1,-2.288617748E-1,7.794899797E-1,8.226213926E-1
1.404936542E0,-8.276808674E-2,-1.593079752E-1,4.852709520E-1,5.174142286E-1
1.414955542E0,2.127116555E-2,-2.950937712E-1,2.857779507E-1,4.113415046E-1
1.424973542E0,1.138743421E-1,-3.894713402E-1,5.572700572E-1,6.893512945E-1
1.434992542E0,1.281618491E-1,-4.826818049E-1,3.353051098E-1,6.015286369E-1
1.445010542E0,1.024169240E-1,-5.703777605E-1,3.325616693E-1,6.681446549E-1
1.455029542E0,1.627244667E-1,-6.064761311E-1,4.168409141E-1,7.536901866E-1
1.465048542E0,1.569152580E-1,-6.338282365E-1,4.891370579E-1,8.158527397E-1
