"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.135940000E-1,4.468003660E-4,-1.084190726E-2,4.951018757E-1,4.952207729E-1
9.236130000E-1,-7.881491214E-2,-4.719457322E-1,7.367450792E-1,8.784861275E-1
9.336320000E-1,1.478687017E-1,-3.883679706E-1,7.743876994E-1,8.788464840E-1
9.436500000E-1,1.007288146E-1,-3.430941492E-1,7.306538884E-1,8.134586615E-1
9.536690000E-1,-9.433174141E-2,-4.321601075E-1,7.706523518E-1,8.885751985E-1
9.636880000E-1,-2.556066468E-2,-5.508258408E-1,8.162397301E-1,9.850430201E-1
9.737070000E-1,1.685615594E-1,-7.054367477E-1,7.777903403E-1,1.063490394E0
9.837260000E-1,2.997532712E-1,-8.000271553E-1,7.137199134E-1,1.113234741E0
9.937440000E-1,2.568731537E-1,-7.090743005E-1,7.222528283E-1,1.044231454E0
1.003763000E0,1.569560058E-1,-6.747219086E-1,7.093818641E-1,9.915177612E-1
1.013782000E0,-6.502074569E-2,-7.024365413E-1,7.049373955E-1,9.972870818E-1
1.023801000E0,-4.572588421E-1,-6.294656289E-1,8.912408689E-1,1.183056598E0
1.033819000E0,-6.077267774E-1,-6.410741061E-1,9.003601134E-1,1.261331114E0
1.043838000E0,-5.600420760E-1,-7.999102110E-1,8.236803120E-1,1.277479052E0
1.053857000E0,-4.718412133E-1,-9.402030408E-1,8.012872303E-1,1.322375557E0
1.063876000E0,-3.060789353E-1,-1.030733727E0,9.060208029E-1,1.406047661E0
1.073895000E0,-1.972667105E-1,-1.038038068E0,1.026769899E0,1.473327395E0
1.083913000E0,-2.142973839E-1,-9.949148530E-1,1.042612930E0,1.456990273E0
1.093932000E0,-2.030551616E-1,-9.531218791E-1,1.133809029E0,1.495057065E0
1.103951000E0,-2.774702632E-1,-9.409029526E-1,1.205161432E0,1.553931205E0
1.113970000E0,-3.802659955E-1,-8.912302709E-1,1.271976396E0,1.599005183E0
1.123989000E0,-3.034516351E-1,-9.752974445E-1,1.368006388E0,1.707257883E0
1.134007000E0,-1.697672553E-1,-1.167732235E0,1.400470129E0,1.831320856E0
1.144026000E0,1.347059615E-2,-1.324584965E0,1.474074880E0,1.981818240E0
1.154045000E0,1.791775449E-1,-1.594182537E0,1.551910676E0,2.232028068E0
1.164064000E0,2.983690160E-1,-1.950945137E0,1.545166497E0,2.506541542E0
1.174083000E0,4.006806719E-1,-2.582666037E0,1.392428892E0,2.961345485E0
1.184101000E0,5.305384876E-1,-2.917543679E0,1.444386081E0,3.298451660E0
1.194120000E0,4.550795118E-1,-3.069070764E0,1.526739436E0,3.457922212E0
1.204139000E0,4.598607069E-1,-3.439105960E0,1.491995426E0,3.776899790E0
1.214158000E0,6.105699129E-1,-3.833577254E0,1.476502498E0,4.153211987E0
1.224176000E0,7.959816130E-1,-4.072445953E0,1.550639491E0,4.429772636E0
1.234195000E0,9.908098883E-1,-4.460666574E0,1.732648550E0,4.886851903E0
1.244214000E0,1.005308425E0,-5.055286891E0,1.729581539E0,5.436729061E0
1.254233000E0,8.817347581E-1,-5.653468162E0,1.627349990E0,5.948733179E0
1.264252000E0,6.755173492E-1,-6.116063612E0,1.429133180E0,6.317038819E0
1.274270000E0,4.795956445E-1,-6.424417114E0,1.290215323E0,6.570220911E0
1.284289000E0,2.609884241E-1,-6.519405132E0,1.350779321E0,6.662984542E0
1.294308000E0,1.922788163E-1,-6.437954587E0,1.568931336E0,6.629161029E0
1.304327000E0,2.303781771E-1,-6.315368881E0,1.722969800E0,6.550235350E0
1.314345000E0,4.237999778E-1,-6.183855645E0,1.672608317E0,6.420069754E0
1.324364000E0,5.640070729E-1,-5.765318965E0,1.597942296E0,6.009195148E0
1.334383000E0,5.539994902E-1,-5.116942272E0,1.435473901E0,5.343276052E0
1.344402000E0,6.205894093E-1,-4.450669590E0,1.413948254E0,4.710927793E0
1.354421000E0,7.872952086E-1,-4.000466144E0,1.439058829E0,4.323708296E0
1.364439000E0,1.011212724E0,-3.844298708E0,1.323758753E0,4.189692228E0
1.374458000E0,1.240722005E0,-3.784067709E0,1.224035075E0,4.166151868E0
1.384477000E0,1.429651536E0,-3.821682848E0,1.530964195E0,4.358097598E0
1.394496000E0,1.520039988E0,-4.013193194E0,1.827302254E0,4.664255000E0
1.404515000E0,1.446109109E0,-4.268518882E0,1.616683792E0,4.788021667E0
1.414533000E0,1.161057273E0,-4.537856253E0,1.406616722E0,4.890681340E0
1.424552000E0,6.727968590E-1,-4.687444986E0,1.420097478E0,4.943831809E0
1.434571000E0,1.315476611E-1,-4.800276952E0,1.255756220E0,4.963555912E0
1.444590000E0,-3.838076540E-1,-4.810655760E0,1.011448440E0,4.930795585E0
1.454608000E0,-7.385841016E-1,-4.487305319E0,7.630020010E-1,4.611245771E0
1.464627000E0,-7.213308685E-1,-3.873970989E0,7.525606281E-1,4.011772295E0
1.474646000E0,-3.019964824E-1,-3.039150562E0,9.136362165E-1,3.187847102E0
1.484665000E0,3.871089920E-1,-2.152291669E0,8.467850000E-1,2.345049602E0
1.494684000E0,1.034725767E0,-1.387182332E0,7.823878598E-1,1.899226947E0
1.504702000E0,1.769632189E0,-6.831676269E-1,8.254759920E-1,2.068750034E0
1.514721000E0,2.408116563E0,2.296786308E-3,2.153085136E-1,2.417723809E0
1.524740000E0,2.486814677E0,8.638699794E-1,-6.006669223E-1,2.700244310E0
1.534759000E0,2.497387613E0,1.391870629E0,-1.300556417E0,3.140970508E0
1.544777000E0,2.010351971E0,1.832227364E0,-1.997673161E0,3.374799286E0
1.554796000E0,3.523192648E-1,3.088808625E0,-2.010593169E0,3.702344187E0
1.564815000E0,-1.219311840E0,4.080287070E0,-1.799396417E0,4.623125718E0
1.574834000E0,-1.596249966E0,3.824197150E0,-2.230209911E0,4.705989168E0
1.584853000E0,-7.635721046E-1,3.093683449E0,-2.502504804E0,4.051721848E0
1.594871000E0,5.977341782E-2,2.492646983E0,-2.510138344E0,3.538030009E0
1.604890000E0,6.122088875E-1,1.861269899E0,-3.051757743E0,3.626616975E0
1.614909000E0,8.002759543E-1,1.240537087E0,-3.648096557E0,3.935477398E0
1.624928000E0,7.182848346E-1,8.735123304E-1,-3.685011783E0,3.854642492E0
